genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/6uvq6FeVsmhOWfJHxVNeBL,6uvq6FeVsmhOWfJHxVNeBL,,Faron Young,48,artist,spotify:artist:6uvq6FeVsmhOWfJHxVNeBL,https://open.spotify.com/artist/6uvq6FeVsmhOWfJHxVNeBL,NA,77798
,https://api.spotify.com/v1/artists/15FyiY3ChN0QRspHIQYq0W,15FyiY3ChN0QRspHIQYq0W,,Dion,61,artist,spotify:artist:15FyiY3ChN0QRspHIQYq0W,https://open.spotify.com/artist/15FyiY3ChN0QRspHIQYq0W,NA,161627
,https://api.spotify.com/v1/artists/4UAjW7ABQfMm5F88xCtQln,4UAjW7ABQfMm5F88xCtQln,,Arthur Lyman,38,artist,spotify:artist:4UAjW7ABQfMm5F88xCtQln,https://open.spotify.com/artist/4UAjW7ABQfMm5F88xCtQln,NA,9279
,https://api.spotify.com/v1/artists/2JyxVsEiD9HVRM7CtFaLCK,2JyxVsEiD9HVRM7CtFaLCK,,Timi Yuro,45,artist,spotify:artist:2JyxVsEiD9HVRM7CtFaLCK,https://open.spotify.com/artist/2JyxVsEiD9HVRM7CtFaLCK,NA,21091
,https://api.spotify.com/v1/artists/42SCX0E1m3YSaY2l3zHVJ4,42SCX0E1m3YSaY2l3zHVJ4,,The Capris,34,artist,spotify:artist:42SCX0E1m3YSaY2l3zHVJ4,https://open.spotify.com/artist/42SCX0E1m3YSaY2l3zHVJ4,NA,15051
,https://api.spotify.com/v1/artists/0SDMI2Gkjubw3ol5p5fKtX,0SDMI2Gkjubw3ol5p5fKtX,,The Paris Sisters,33,artist,spotify:artist:0SDMI2Gkjubw3ol5p5fKtX,https://open.spotify.com/artist/0SDMI2Gkjubw3ol5p5fKtX,NA,6325
,https://api.spotify.com/v1/artists/0En4EEcDMJ5kaUCf1aZ9js,0En4EEcDMJ5kaUCf1aZ9js,,Lee Dorsey,50,artist,spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,https://open.spotify.com/artist/0En4EEcDMJ5kaUCf1aZ9js,NA,39146
,https://api.spotify.com/v1/artists/0j4ZVeMLH38uXEup39Hjvb,0j4ZVeMLH38uXEup39Hjvb,,Ral Donner,21,artist,spotify:artist:0j4ZVeMLH38uXEup39Hjvb,https://open.spotify.com/artist/0j4ZVeMLH38uXEup39Hjvb,NA,2343
,https://api.spotify.com/v1/artists/7fmKtIgmxqNEKjATioVNsu,7fmKtIgmxqNEKjATioVNsu,,Pat Boone,52,artist,spotify:artist:7fmKtIgmxqNEKjATioVNsu,https://open.spotify.com/artist/7fmKtIgmxqNEKjATioVNsu,NA,157760
,https://api.spotify.com/v1/artists/1rBtwsSkGLKYGhL5yj98Wd,1rBtwsSkGLKYGhL5yj98Wd,,Adam Wade,13,artist,spotify:artist:1rBtwsSkGLKYGhL5yj98Wd,https://open.spotify.com/artist/1rBtwsSkGLKYGhL5yj98Wd,NA,575
,https://api.spotify.com/v1/artists/1QAGLCom3FHTTiuRFsjzOj,1QAGLCom3FHTTiuRFsjzOj,,Carla Thomas,49,artist,spotify:artist:1QAGLCom3FHTTiuRFsjzOj,https://open.spotify.com/artist/1QAGLCom3FHTTiuRFsjzOj,NA,57393
,https://api.spotify.com/v1/artists/3plJVWt88EqjvtuB4ZDRV3,3plJVWt88EqjvtuB4ZDRV3,,Ben E. King,69,artist,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,https://open.spotify.com/artist/3plJVWt88EqjvtuB4ZDRV3,NA,459363
,https://api.spotify.com/v1/artists/4ktCOHXwrnjPRGmAuX98yE,4ktCOHXwrnjPRGmAuX98yE,,Buzz Clifford,20,artist,spotify:artist:4ktCOHXwrnjPRGmAuX98yE,https://open.spotify.com/artist/4ktCOHXwrnjPRGmAuX98yE,NA,807
,https://api.spotify.com/v1/artists/6PNZ6ZfwWLiUA2BrranFl3,6PNZ6ZfwWLiUA2BrranFl3,,Tony Orlando,46,artist,spotify:artist:6PNZ6ZfwWLiUA2BrranFl3,https://open.spotify.com/artist/6PNZ6ZfwWLiUA2BrranFl3,NA,28146
